States,Year,Quarter,Brand,User_Counts,Percentage
Andhra Pradesh,2021,2,Others,1271853,0.064821322
Andhra Pradesh,2021,3,Xiaomi,5256707,0.249607429
Andhra Pradesh,2021,3,Vivo,3981492,0.189055617
Andhra Pradesh,2021,3,Samsung,3911188,0.185717329
Andhra Pradesh,2021,3,Oppo,2382363,0.113123197
Andhra Pradesh,2021,3,Realme,2134616,0.101359275
Andhra Pradesh,2021,3,Motorola,486971,0.023123141
Andhra Pradesh,2021,3,Apple,480993,0.022839284
Andhra Pradesh,2021,3,OnePlus,459011,0.0217955
Andhra Pradesh,2021,3,Huawei,435214,0.020665532
Andhra Pradesh,2021,3,Lenovo,245241,0.011644928
Andhra Pradesh,2021,3,Others,1286102,0.061068767
Andhra Pradesh,2021,4,Xiaomi,5518238,0.245374667
Andhra Pradesh,2021,4,Vivo,4381023,0.194807121
Andhra Pradesh,2021,4,Samsung,4017419,0.17863906
Andhra Pradesh,2021,4,Oppo,2580845,0.114760179
Andhra Pradesh,2021,4,Realme,2528884,0.112449675
Andhra Pradesh,2021,4,Apple,544986,0.024233416
Andhra Pradesh,2021,4,OnePlus,525373,0.023361302
Andhra Pradesh,2021,4,Motorola,474422,0.021095708
Andhra Pradesh,2021,4,Huawei,409934,0.018228177
Andhra Pradesh,2021,4,Lenovo,224391,0.009977799
Andhra Pradesh,2021,4,Others,1283514,0.057072895
Andhra Pradesh,2022,1,Xiaomi,5743382,0.240732408
Andhra Pradesh,2022,1,Vivo,4772765,0.200049241
Andhra Pradesh,2022,1,Samsung,4124296,0.172868827
Andhra Pradesh,2022,1,Realme,2864092,0.120047694
Andhra Pradesh,2022,1,Oppo,2780974,0.116563824
Andhra Pradesh,2022,1,Apple,594003,0.024897486
Andhra Pradesh,2022,1,OnePlus,580737,0.024341445
Andhra Pradesh,2022,1,Motorola,463652,0.019433857
Andhra Pradesh,2022,1,Huawei,401477,0.016827807
Andhra Pradesh,2022,1,Lenovo,222586,0.009329636
Andhra Pradesh,2022,1,Others,1309987,0.054907775
Arunachal Pradesh,2018,1,Xiaomi,5212,0.242474994
Arunachal Pradesh,2018,1,Samsung,4354,0.202558735
Arunachal Pradesh,2018,1,Vivo,3523,0.163898581
Arunachal Pradesh,2018,1,Oppo,2608,0.121330542
Arunachal Pradesh,2018,1,Realme,1297,0.060339614
Arunachal Pradesh,2018,1,Apple,628,0.029216097
